Year,Route,Borough,Avg. Ridership
2018,Q56,Queens,"7,630"
2018,Q58,Queens,"27,940"
2018,Q59,Queens,"6,768"
2018,Q76,Queens,"5,341"
2018,Q77,Queens,"5,744"
2018,Q83,Queens,"8,168"
2018,Q84,Queens,"4,225"
2018,Q85,Queens,"10,939"
2018,Q88,Queens,"10,937"
2018,Q OTHER,Queens,543
2018,S40/90,Staten Island,"4,072"
2018,S42,Staten Island,828
2018,S44/94,Staten Island,"5,928"
2018,S46/96,Staten Island,"6,435"
2018,S48/98,Staten Island,"6,700"
2018,S51/81,Staten Island,"3,661"
2018,S52,Staten Island,"3,119"
2018,S53,Staten Island,"8,340"
2018,S54,Staten Island,944
2018,S55,Staten Island,289
2018,S56,Staten Island,448
2018,S57,Staten Island,"1,183"
2018,S59,Staten Island,"3,065"
2018,S61/91,Staten Island,"3,931"
2018,S62/92,Staten Island,"3,821"
2018,S66,Staten Island,"1,537"
2018,S74/84,Staten Island,"4,898"
2018,S76/86,Staten Island,"3,849"
2018,S78,Staten Island,"5,411"
2018,S79SBS,Staten Island,"10,873"
2018,S89,Staten Island,583
2018,S93,Staten Island,"3,659"
2018,S OTHER,Staten Island,375
2018,X1,Express,"3,689"
2018,X2,Express,929
2018,X3,Express,286
2018,X4,Express,405
2018,X5,Express,"1,203"
2018,X7,Express,"1,078"
2018,X8,Express,515
2018,X9,Express,625
2018,X10,Express,"1,745"
2018,X11,Express,445
2018,X12/42,Express,"1,442"
2018,X14,Express,545
2018,X15,Express,719
2018,X17,Express,"3,823"
2018,X19,Express,678
2018,X21,Express,325
2018,X22,Express,"1,375"
2018,X27/37,Express,"2,940"
2018,X28/38,Express,"2,624"
2018,X30,Express,522
2018,X31,Express,434
2018,X63,Express,628
2018,X64,Express,305
2018,X68,Express,538
2019,B1,Brooklyn,"18,838"
2019,B2,Brooklyn,"2,174"
2019,B3,Brooklyn,"11,554"
2019,B4,Brooklyn,"6,069"
2019,B6,Brooklyn,"34,062"
2019,B7,Brooklyn,"4,920"
2019,B8,Brooklyn,"18,036"
2019,B9,Brooklyn,"13,857"
2019,B11,Brooklyn,"10,488"
2019,B12,Brooklyn,"11,542"
2019,B13,Brooklyn,"6,259"
2019,B14,Brooklyn,"5,442"
2019,B15,Brooklyn,"16,510"
2019,B16,Brooklyn,"6,150"
2019,B17,Brooklyn,"9,527"
2019,B20,Brooklyn,"6,008"
2019,B24,Brooklyn,"2,563"
2019,B25,Brooklyn,"7,631"
2019,B26,Brooklyn,"8,038"
2019,B31,Brooklyn,"2,671"
2019,B32,Brooklyn,904
2019,B35,Brooklyn,"24,887"
2019,B36,Brooklyn,"11,795"
2019,B37,Brooklyn,"2,196"
2019,B38,Brooklyn,"16,660"
2019,B39,Brooklyn,218
2019,B41,Brooklyn,"22,553"
2019,B42,Brooklyn,"3,010"
2019,B43,Brooklyn,"9,196"
2019,B44Lcl/SBS,Brooklyn,"31,375"
