Average Weekday New York City Transit Bus Ridership,,,,,,,,,,,
Route,*,2016,2017,2018,2019,2020,2021,,2020-2021 Change,,2021 Rank
S62/92,,"4,431","4,212","3,821","3,654","1,965","1,822",,-143,-7.3%,146
S66,,"1,659","1,619","1,537","1,530",705,680,,-25,-3.5%,171
S74/84,,"5,411","5,325","4,898","4,817","2,798","2,393",,-405,-14.5%,134
S76/86,,"4,617","4,331","3,849","3,848","2,363","1,944",,-419,-17.7%,142
S78,,"6,163","6,004","5,411","5,326","3,100","2,809",,-291,-9.4%,128
S79SBS,,"11,378","11,266","10,873","10,744","6,350","6,569",,+219,+3.5%,51
S89,,756,699,583,562,261,234,,-27,-10.2%,184
S93,,"3,686","3,789","3,659","4,262","1,979","1,921",,-58,-2.9%,143
S OTHER,,279,358,375,630,394,869,,,,
Staten Is Local,,"94,535","91,064","83,949","82,987","48,767","45,150",,"-3,617",-7.4%,
,,,,,,,,,,,
SIM1,8,,,"2,089","5,862","2,628","2,887",,+259,+9.9%,1
SIM2,8,,,531,"1,368",475,473,,-2,-0.5%,11
SIM3,8,,,768,"1,887",815,912,,+97,+12.0%,7
SIM4,8,,,"1,282","3,485","1,349","1,388",,+39,+2.9%,2
SIM5,8,,,446,"1,141",340,328,,-12,-3.6%,18
SIM6,8,,,771,"1,846",705,760,,+55,+7.8%,9
SIM7,8,,,393,883,283,289,,+6,+2.3%,20
SIM8,8,,,898,"2,284",850,930,,+80,+9.4%,6
SIM9,9,,,158,653,190,156,,-34,-18.2%,25
SIM10,8,,,"1,034","2,016",850,"1,028",,+178,+20.9%,5
SIM11,10,,,,982,413,452,,+39,+9.6%,12
SIM15,8,,,414,"1,173",393,435,,+42,+10.8%,14
SIM22,8,,,286,902,348,412,,+64,+18.3%,15
SIM25,8,,,338,"1,051",377,403,,+26,+7.0%,16
SIM26,8,,,451,"1,188",420,447,,+27,+6.4%,13
SIM30,8,,,303,808,318,367,,+49,+15.5%,17
SIM31,8,,,300,847,303,324,,+21,+7.0%,19
SIM32,8,,,279,764,229,219,,-10,-4.6%,24
SIM33,8,,,275,"1,702",828,903,,+75,+9.0%,8
SIM34,8,,,469,"1,341",488,538,,+50,+10.2%,10
SIM35,8,,,247,725,238,233,,-5,-2.0%,23
X1,8,"6,019","5,899","3,689",0,0,0,,,,
X2,8,"1,550","1,477",929,0,0,0,,,,
X3,8,486,475,286,0,0,0,,,,
X4,8,645,652,405,0,0,0,,,,
X5,8,"1,865","1,850","1,203",0,0,0,,,,
X7,8,"1,753","1,688","1,078",0,0,0,,,,
X8,8,817,817,515,0,0,0,,,,
X9,8,"1,105",984,625,0,0,0,,,,
X10,8,"2,825","2,758","1,745",0,0,0,,,,
X11,8,705,687,445,0,0,0,,,,
X12/42,8,"2,235","2,201","1,442",0,0,0,,,,
X14,8,894,845,545,0,0,0,,,,
X15,8,"1,149","1,098",719,0,0,0,,,,
X17,8,"6,114","6,142","3,823",0,0,0,,,,
X19,8,"1,018","1,011",678,0,0,0,,,,
X21,8,488,541,325,0,0,0,,,,
X22,8,"2,304","2,240","1,375",0,0,0,,,,
X27/37,,"3,106","3,041","2,940","2,944","1,039","1,246",,+207,+19.9%,3
X28/38,,"2,634","2,663","2,624","2,596",998,"1,204",,+206,+20.6%,4
X30,8,860,848,522,0,0,0,,,,
X31,8,675,683,434,0,0,0,,,,
X63,,598,613,628,626,259,288,,+29,+11.3%,21
X64,,319,299,305,287,126,154,,+28,+22.1%,26
X68,,546,524,538,504,215,236,,+21,+9.8%,22
X Other,,23,27,,,0,4,,,,
Express Total,,"40,733","40,063","27,818","6,957","15,477","17,017",,"+1,540",+9.9%,
,,,,,,,,,,,
System Totals,,,,,,,,,,,
Brooklyn Local,,"607,012","575,523","537,217","525,135","299,650","303,552",,"+3,902",+1.3%,
Bronx Local,,"522,826","483,663","436,497","412,388","257,161","233,863",,"-23,298",-9.1%,
Manhattan Local,,"410,479","380,075","373,460","381,165","179,561","202,451",,"+22,890",+12.7%,
Queens Local,,"358,305","349,112","334,451","328,842","179,758","182,833",,"+3,075",+1.7%,
Staten Is Local,,"94,535","91,064","83,949","82,987","48,767","45,150",,"-3,617",-7.4%,
Local System Adj,,"4,144","4,445","6,360",,,,,,,
Local Total,,"1,997,301","1,883,882","1,771,934","1,730,517","964,897","967,848",,"+2,951",+0.3%,
,,,,,,,,,,,
Brooklyn Exp,,"5,740","5,704","5,564","5,540","2,037","2,450",,+413,+20.3%,
Manhattan Exp,,0,0,0,0,0,0,,,,
Queens Exp,,"1,463","1,436","1,471","1,417",600,678,,+78,+13.0%,
Staten Is Exp,,"33,507","32,896","32,515","32,909","12,840","13,889",,"+1,049",+8.2%,
Exp Special/Adj,,108,75,121,11,,,,,,
Express Total,,"40,818","40,111","39,671","39,877","15,477","17,017",,"+1,540",+9.9%,
,,,,,,,,,,,
Brooklyn Total,,"612,752","581,227","542,781","530,675","301,687","306,001",,"+4,314",+1.4%,
Bronx Total,,"522,826","483,663","436,497","412,388","257,161","233,863",,"-23,298",-9.1%,
Manhattan Total,,"410,479","380,075","373,460","381,165","179,561","202,451",,"+22,890",+12.7%,
Queens Total,,"359,768","350,548","335,922","330,260","180,358","183,511",,"+3,153",+1.7%,
Staten Is Total,,"128,042","123,960","116,464","115,896","61,607","59,039",,"-2,568",-4.2%,
Adjustments,,"4,252","4,520","6,481",11,,,,,,
Grand Total,,"2,038,119","1,923,993","1,811,605","1,770,394","980,374","984,865",,"+4,491",+0.5%,
,,,,,,,,,,,
"* NYCT Bus Routes that were changed between 2016 and 2021; see ""Notes"" for details.",,,,,,,,,,,
